name,online_order,book_table,rate,dish_liked,approx_cost(for two people)
Jalsa,0,Yes,4.1outof5,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",800
Spice Elephant,0,No,4.1outof5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
San Churro Cafe,0,No,3.8outof5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
Addhuri Udupi Bhojana,0,No,3.7outof5,Masala Dosa,300
Grand Village,0,No,3.8outof5,"Panipuri, Gol Gappe",600
Timepass Dinner,0,No,3.8outof5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
Rosewood International Hotel - Bar & Restaurant,0,No,3.6outof5,,800
Onesta,0,Yes,4.6outof5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
Penthouse Cafe,0,No,4.0outof5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
Smacznego,0,No,4.2outof5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,0,No,4.1outof5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
Cafe Shuffle,0,Yes,4.2outof5,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",600
The Coffee Shack,0,Yes,4.2outof5,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500
Caf-Eleven,0,No,4.0outof5,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450
San Churro Cafe,0,No,3.8outof5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
Cafe Vivacity,0,No,3.8outof5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
Catch-up-ino,0,No,3.9outof5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
Kirthi's Biryani,0,No,3.8outof5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
T3H Cafe,0,No,3.9outof5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
360 Atoms Restaurant And Cafe,0,No,3.1outof5,,400
The Vintage Cafe,0,No,3.0outof5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
Woodee Pizza,0,No,3.7outof5,"Pizza, Garlic Bread",500
Cafe Coffee Day,0,No,3.6outof5,,900
My Tea House,0,No,3.6outof5,"Pasta, Iced Tea",600
Hide Out Cafe,0,No,3.7outof5,,300
CAFE NOVA,0,No,3.2outof5,,600
Coffee Tindi,0,No,3.8outof5,,200
Sea Green Cafe,0,No,3.3outof5,,500
Cuppa,0,No,3.3outof5,,550
Srinathji's Cafe,0,No,3.8outof5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
Redberrys,0,No,4.0outof5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
Foodiction,0,No,2.8outof5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
Sweet Truth,0,No,3.9outof5,,500
Ovenstory Pizza,0,No,3.9outof5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
Faasos,0,No,4.2outof5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
Behrouz Biryani,0,No,3.9outof5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
Fast And Fresh,0,No,2.8outof5,,400
Szechuan Dragon,0,No,4.2outof5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
Empire Restaurant,0,No,4.4outof5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
Maruthi Davangere Benne Dosa,0,No,4.0outof5,,150
Chaatimes,0,No,3.8outof5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
Havyaka Mess,0,No,3.9outof5,,300
McDonald's,0,No,3.9outof5,"Burgers, Fries, Hot Chocolate",500
Domino's Pizza,0,No,3.9outof5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
Onesta,0,Yes,4.6outof5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
Hotboxit,0,No,3.8outof5,Prompt Service,400
Kitchen Garden,0,No,3.6outof5,Biryani,300
Recipe,0,No,4.0outof5,"Butter Chicken, Noodles, Thali, Biryani",450
Beijing Bites,0,No,3.7outof5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
Tasty Bytes,0,No,3.1outof5,"Paratha, Pasta",300
Petoo,0,No,3.7outof5,,450
Shree Cool Point,0,No,4.1outof5,,150
Corner House Ice Cream,0,No,4.3outof5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
Biryanis And More,0,No,4.0outof5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
Roving Feast,0,No,4.0outof5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
FreshMenu,0,No,3.9outof5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
Banashankari Donne Biriyani,0,No,3.8outof5,,300
Wamama,0,Yes,4.2outof5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
Five Star Chicken,0,No,3.6outof5,,200
XO Belgian Waffle,0,No,3.7outof5,,400
Peppy Peppers,0,No,4.2outof5,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
Goa 0 Km,0,Yes,3.6outof5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
Chinese Kitchen,0,No,3.8outof5,,150
1947,0,Yes,4.0outof5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
Cake of the Day,0,No,3.7outof5,,150
Kabab Magic,0,No,4.1outof5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
Namma Brahmin's Idli,0,No,3.6outof5,,100
Gustoes Beer House,0,No,4.1outof5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","1,200"
Sugar Rush,0,No,3.8outof5,,300
Burger King,0,No,3.2outof5,,600
The Good Bowl,0,No,3.6outof5,,500
The Biryani Cafe,0,No,4.1outof5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
Spicy Tandoor,0,No,NEW,,150
LSD Cafe,0,No,2.9outof5,,700
Rolls On Wheels,0,No,3.6outof5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
Om Sri Vinayaka Chats,0,No,NEW,,500
Sri Guru Kottureshwara Davangere Benne Dosa,0,No,4.1outof5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
Devanna Dum Biriyani Centre,0,No,3.6outof5,,300
Kolbeh,0,No,3.7outof5,,500
Upahar Sagar,0,No,3.8outof5,Masala Dosa,350
Kadalu Sea Food Restaurant,0,No,3.8outof5,,500
Frozen Bottle,0,No,4.2outof5,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
Parimala Sweets,0,No,3.5outof5,,200
Vaishali Deluxe,0,No,3.8outof5,,700
Chill Out,0,No,,,100
The Big O Bakes,0,No,4.0outof5,,300
Meghana Foods,0,No,4.4outof5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
Krishna Sagar,0,No,3.5outof5,,200
Dessert Rose,0,No,3.5outof5,,500
Chickpet Donne Biryani House,0,No,3.7outof5,,250
Me And My Cake,0,No,,,500
Sunsadm,0,No,,,400
Annapooraneshwari Mess,0,No,,,200
Thanco's Natural Ice Creams,0,No,3.2outof5,,300
